priority_score,source_id,source_name,filename,year,region,country,metric,value,unit,scenario,confidence,claim_type,all_pages,evidence_count,best_quote,candidate_ids,promote,reviewer,review_note,corrected_year,corrected_region,corrected_country,corrected_metric,corrected_value,corrected_unit,corrected_scenario,corrected_confidence
156,energyandai,Energy and AI,EnergyandAI.pdf,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,medium,total_consumption,49,1,"ciency and Headwinds) capture uncertainties in efficiency improvements in | hardware and software, AI uptake and energy sector bottlenecks. | • In the Base Case, electricity consumption from data centres rises to around 945 TWh | by 2030, more than doubling from the 2024 level. The United States sees by far the | largest absolute growth, followed by China and Europe. Data centres still account for | less than 10% of the growth in global electr",energyandai_49_2030_global_data_center_electricity_demand_twh_94_2120d8fc64,yes,Ali,Verified from source quote/page,,,,,,,base,high
148,energyandai,Energy and AI,EnergyandAI.pdf,2024,global,,data_center_electricity_demand_twh,415.0,TWh,estimate,medium,total_consumption,77,1,"PPAs globally (Figure 2.16). | Technology companies operating data centres account for over 30% of this capacity. In | 2024, technology companies’ renewables PPAs were sufficient to cover roughly 20% of | the estimated 415 TWh of global electricity demand from data centres. | An additional 60 GW of PPA-related capacity is currently under development – meaning | projects for which financing and/or permits have been secured or which are under",energyandai_77_2024_global_data_center_electricity_demand_twh_41_b32cb68015,yes,Ali,Verified from source quote/page,,,,,,,estimate,high
144,energyandai,Energy and AI,EnergyandAI.pdf,2030,global,,data_center_electricity_demand_twh,800.0,TWh,low,low,total_consumption,49,2,"limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand incr",energyandai_49_2030_global_data_center_electricity_demand_twh_80_6a70dcdc79;energyandai_49_2030_global_data_center_electricity_demand_twh_80_4d1d6934df,yes,Ali,Verified from source quote/page,,,,,,,high_efficiency,high
143,energyandai,Energy and AI,EnergyandAI.pdf,2030,global,,data_center_electricity_demand_twh,670.0,TWh,headwinds,low,total_consumption,49,1,"limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand incr",energyandai_49_2030_global_data_center_electricity_demand_twh_67_manual,yes,Ali,Verified from source quote/page,,,,,,,headwinds,high
141,energyandai,Energy and AI,EnergyandAI.pdf,2030,global,,data_center_electricity_demand_twh,1260.0,TWh,low,low,total_consumption,49,1,"unt for less than 10% of the growth in global electricity consumption to 2030. • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertain",energyandai_49_2030_global_data_center_electricity_demand_twh_12_b0fd82d137,yes,Ali,Verified from source quote/page,,,,,,,lift_off,high
131,global_electricity_review_2026,Global Electricity,Global-Electricity-Review-2026.pdf,2030,global,,data_center_electricity_demand_twh,950.0,TWh,high,low,total_consumption,54,1,"ase in demand in 2025, though uncertainty around this estimate remains high. The IEA’s forecast expects data centre demand to grow four times faster than overall electricity demand, from around 500 TWh in 2025 to around 950 TWh in 2030. However, even at this rapid pace, data centres would account for less than 3% of global electricity demand by 2030, though regional impacts will differ significantly. China led global demand growth in 2025, for",global_electricity_review_2026_54_2030_global_data_center_electr_80b68931d3,,,,,,,,,,,
128,energyandai,Energy and AI,EnergyandAI.pdf,2024,global,,data_center_electricity_demand_twh,460.0,TWh,base,low,total_consumption,86,1,"ould also be analysed at the broader system level to better assess the balance of the variability. 2.5.3 Electricity supply in the Base Case Global electricity generation to supply data centres is projected to grow from 460 TWh in 2024 to over 1 000 TWh in 2030 and 1 300 TWh in 2035 in the Base Case. Renewables meet nearly half of the additional demand to 2030, followed by natural gas and coal, with nuclear starting to play an increasingly imp",energyandai_86_2024_global_data_center_electricity_demand_twh_46_8cf63478f2,,,,,,,,,,,
103,energyandai,Energy and AI,EnergyandAI.pdf,2024,europe,,data_center_electricity_demand_twh,70.0,TWh,low,low,total_consumption,58,1,"extent, by China Data centres account for slightly less than 2% of Europe’s electricity consumption, a share that is higher than China’s (1.1%). However, in absolute terms, Europe’s consumption is lower, at an estimated 70 TWh in 2024. Europe’s share of the global electricity consumption of data centres has decreased over the past decade but still represents slightly above 15%. In Japan, we estimate that data centres account for less than 20",energyandai_58_2024_global_data_center_electricity_demand_twh_70_af10921756,,,,,,,,,,,
